SEASON	COMPETITION	PLAYER	TEAM	POS	OLD	NEW
1934	Alemannische Oberliga	Maxi HINTZEN	F01	FWD	75	79
1934	Alemannische Oberliga	Till GÄRTNER	F01	DEF	75	73
1934	Alemannische Oberliga	Ewoud ARKES	F01	MID	75	72
1934	Alemannische Oberliga	Klaus JONASEN	F01	FWD	73	75
1934	Alemannische Oberliga	Rochus SNEIJER	F01	MID	72	71
1934	Alemannische Oberliga	Marvin OPPENHEIMER	E02	GK	75	79
1934	Alemannische Oberliga	Chris WEIMANN	E02	DEF	79	81
1934	Alemannische Oberliga	Wilfried SORGE	E02	MID	78	80
1934	Alemannische Oberliga	Frans CUIJPERS	E02	FWD	78	80
1934	Alemannische Oberliga	Johan WEINERTITZ	E02	DEF	74	76
1934	Alemannische Oberliga	Rafaël ALTENA	E02	DEF	77	78
1934	Alemannische Oberliga	Stephan KIEFER	E02	MID	78	79
1934	Alemannische Oberliga	Sascha VAN MIDDLESWORTH	E02	DEF	80	79
1934	Alemannische Oberliga	Kay WILMS	E02	FWD	77	76
1934	Alemannische Oberliga	Adolf GRIMM	E02	FWD	77	76
1934	Alemannische Oberliga	Dirk THÄLMANN	E02	MID	73	71
1934	Alemannische Oberliga	Lorens CHRISTENSEN	SPA	MID	74	77
1934	Alemannische Oberliga	Thor ANDRESEN	SPA	FWD	82	84
1934	Alemannische Oberliga	Ole TOFT	SPA	FWD	79	81
1934	Alemannische Oberliga	Ime PAULSEN	SPA	MID	83	84
1934	Alemannische Oberliga	Ane LUDVIGSEN	SPA	DEF	78	79
1934	Alemannische Oberliga	Hauke OLESEN	SPA	MID	78	79
1934	Alemannische Oberliga	Palle ALMA	SPA	DEF	76	77
1934	Alemannische Oberliga	Leif ABEL	SPA	DEF	75	76
1934	Alemannische Oberliga	Meine CARLSEN	SPA	DEF	79	78
1934	Alemannische Oberliga	Filip KARTENSEN	SPA	FWD	76	75
1934	Alemannische Oberliga	Oscar CARSTENSEN	SPA	FWD	74	73
1934	Alemannische Oberliga	Stig VAN WIEREN	SPA	DEF	74	72
1934	Alemannische Oberliga	Remme THORSEN	SPA	MID	74	72
1934	Alemannische Oberliga	Gabriel TESAŘÍK	PRA	GK	79	76
1934	Alemannische Oberliga	Edvard JANÍČEK	PRA	DEF	78	75
1934	Alemannische Oberliga	Hubert HAŠEK	PRA	FWD	78	80
1934	Alemannische Oberliga	Jindra CHALUPNÍK	PRA	DEF	77	76
1934	Alemannische Oberliga	Július BERNARD	PRA	MID	77	78
1934	Alemannische Oberliga	Tadeáš ŠIMON	PRA	MID	77	76
1934	Alemannische Oberliga	Oliver BÁRTA	PRA	FWD	77	76
1934	Alemannische Oberliga	Ctirad ŠEVČÍK	PRA	DEF	76	77
1934	Alemannische Oberliga	Lubor HLAVÁČEK	PRA	MID	76	78
1934	Alemannische Oberliga	Ignác JELEN	PRA	DEF	76	78
1934	Alemannische Oberliga	Timotej SEDLÁK	PRA	DEF	75	73
1934	Alemannische Oberliga	Drahoslav PEŠEK	PRA	MID	75	73
1934	Alemannische Oberliga	Uwe DAUBE	VSC	MID	82	79
1934	Alemannische Oberliga	Radim MUELLER	VSC	GK	81	78
1934	Alemannische Oberliga	Florian ČERNÍK	VSC	DEF	79	77
1934	Alemannische Oberliga	Gernot FALKENRATH	VSC	MID	78	80
1934	Alemannische Oberliga	Rolf GÄRTNER	VSC	MID	78	79
1934	Alemannische Oberliga	Wieland HUMMEL	VSC	FWD	78	79
1934	Alemannische Oberliga	Oto VACEK	VSC	FWD	78	79
1934	Alemannische Oberliga	Jaro REIS	VSC	DEF	78	79
1934	Alemannische Oberliga	Matthäus POLÁK	VSC	DEF	75	77
1934	Alemannische Oberliga	Havel LANDAU	VSC	MID	75	72
1934	Alemannische Oberliga	Marwin KADLEC	VSC	DEF	74	72
1934	Alemannische Oberliga	Guntram LÖWE	VSC	FWD	74	71
1934	Alemannische Oberliga	Sieuwerd BEUMERS	BTV	FWD	76	80
1934	Alemannische Oberliga	Otto PANDER	BTV	FWD	71	74
1934	Alemannische Oberliga	Levin ROSENBURG	BTV	GK	70	72
1934	Alemannische Oberliga	Marco SCHULTHIESS	BTV	MID	77	79
1934	Alemannische Oberliga	Wolf OHME	BTV	MID	76	77
1934	Alemannische Oberliga	Joop LAUWENS	BTV	MID	75	76
1934	Alemannische Oberliga	Cor BRUTZ	BTV	DEF	74	75
1934	Alemannische Oberliga	Ove BECK	BTV	MID	74	75
1934	Alemannische Oberliga	Dan BERNHARD	BTV	DEF	72	73
1934	Alemannische Oberliga	Steffen SCHÜTZE	BTV	DEF	77	76
1934	Alemannische Oberliga	Otto KÜHN	BTV	DEF	75	74
1934	Alemannische Oberliga	Alf ALBERINK	BTV	DEF	70	69
1934	Alemannische Oberliga	Eskil PETERSEN	BTV	MID	72	70
1934	Alemannische Oberliga	Ivo SCHUMACHER	BTV	FWD	71	69
1934	Alemannische Oberliga	Erik BOTHE	BTV	MID	68	66
1934	Alemannische Oberliga	Boda HARNS	VEY	GK	78	82
1934	Alemannische Oberliga	Fabian KNEF	VEY	FWD	78	81
1934	Alemannische Oberliga	Pirmin FALK	VEY	DEF	79	81
1934	Alemannische Oberliga	Johann WILDGRUBE	VEY	FWD	78	80
1934	Alemannische Oberliga	Helmar SAUBER	VEY	MID	74	76
1934	Alemannische Oberliga	Dieter SCHWINGHAMMER	VEY	MID	79	78
1934	Alemannische Oberliga	Gero WEHUNT	VEY	DEF	77	76
1934	Alemannische Oberliga	Jupp NEUMANN	VEY	DEF	76	75
1934	Alemannische Oberliga	Adi HAHN	VEY	MID	75	74
1934	Alemannische Oberliga	Alfons HAAS	VEY	MID	72	71
1934	Alemannische Oberliga	Goonbert HOUSE	VEY	DEF	70	69
1934	Alemannische Oberliga	Dietmar EBNER	VEY	DEF	77	76
1934	Alemannische Oberliga	Ulf GOTTI	VEY	MID	73	71
1934	Alemannische Oberliga	Denis WALKENHORST	VEY	FWD	73	71
1934	Alemannische Oberliga	Magnus BELTZ	VEY	MID	72	69
1934	Alemannische Oberliga	Michi SÜSS	FRM	MID	77	80
1934	Alemannische Oberliga	Erich ROT	FRM	MID	77	80
1934	Alemannische Oberliga	Guntram FALKNER	FRM	GK	75	77
1934	Alemannische Oberliga	Luitpolt HUBERT	FRM	MID	79	80
1934	Alemannische Oberliga	Eugen BAUMGÄRTNER	FRM	DEF	75	76
1934	Alemannische Oberliga	Eric JÄGER	FRM	FWD	72	71
1934	Alemannische Oberliga	Wolf WEHUNT	FRM	DEF	72	71
1934	Alemannische Oberliga	Luitger LANGE	FRM	DEF	79	77
1934	Alemannische Oberliga	Thorsten BLUMENTHAL	FRM	FWD	79	77
1934	Alemannische Oberliga	Josef SCHULZE	FRM	MID	76	74
1934	Alemannische Oberliga	Timo HABICH	FRM	DEF	73	71
1934	Alemannische Oberliga	Noah WENDELL	FRM	MID	72	70
1934	Alemannische Oberliga	Ruprecht SCHEER	FRM	MID	71	69
1934	Alemannische Oberliga	Dirk SPANNAGEL	BAI	MID	78	80
1934	Alemannische Oberliga	Jupp GÖBEL	BAI	FWD	77	78
1934	Alemannische Oberliga	Markus ABRAHAM	BAI	MID	76	77
1934	Alemannische Oberliga	Herwig KEIL	BAI	GK	82	80
1934	Alemannische Oberliga	Manfred BECKENBAUER	BAI	DEF	76	75
1934	Alemannische Oberliga	Gottfried HÜBER	BAI	MID	76	75
1934	Alemannische Oberliga	Valentin KÄSTNER	BAI	DEF	75	74
1934	Alemannische Oberliga	Linus KRAUSS	BAI	DEF	72	71
1934	Alemannische Oberliga	Augustin LANGER	BAI	MID	79	77
1934	Alemannische Oberliga	Uwe UNKLE	BAI	DEF	78	76
1934	Alemannische Oberliga	Pascal HALLE	BAI	DEF	78	76
1934	Alemannische Oberliga	Jonatan PETERS	BAI	MID	73	71
1934	Alemannische Oberliga	Marzell BECKE	BAI	MID	73	71
1934	Alemannische Oberliga	Silvan ROSENFELD	BAI	MID	78	75
1934	Alemannische Oberliga	Milan PAUL	BAI	FWD	77	73
1934	Alemannische Oberliga	Erni BACHMANN	STU	DEF	78	77
1934	Alemannische Oberliga	Lothar HÖFLER	STU	MID	78	80
1934	Alemannische Oberliga	Denis LEWERENZ	STU	GK	77	75
1934	Alemannische Oberliga	Hans-Joachim ENNS	STU	MID	77	75
1934	Alemannische Oberliga	Jaron HORN	STU	DEF	76	75
1934	Alemannische Oberliga	Humbert BAUMANN	STU	MID	74	77
1934	Alemannische Oberliga	Stav WEGENER	STU	DEF	73	76
1934	Alemannische Oberliga	Gotthilf BRINKERHOFF	STU	FWD	72	76
1934	Alemannische Oberliga	Akiva SCHUMACHER	STU	DEF	71	72
1934	Alemannische Oberliga	Bernd MÜLLER	STU	MID	71	75
1934	Alemannische Oberliga	Kai VONNEGUT	STU	DEF	71	70
1934	Alemannische Oberliga	Noga BUMGARDNER	STU	MID	70	72
1934	Alemannische Oberliga	Till HÖFFLER	STU	MID	70	68
1934	Alemannische Oberliga	Guntram JUNG	STU	FWD	69	68
1934	Alemannische Oberliga	Deror FRIEDRICH	STU	MID	68	67
1934	Alemannische Oberliga	Bruno SOMMER	VPR	GK	73	76
1934	Alemannische Oberliga	Barnabas HENNING	VPR	FWD	78	80
1934	Alemannische Oberliga	Maria ADENAUER	VPR	MID	76	77
1934	Alemannische Oberliga	Tadeáš FISCHER	VPR	DEF	79	78
1934	Alemannische Oberliga	Otto SLUSSER	VPR	DEF	78	77
1934	Alemannische Oberliga	Kord GROSS	VPR	DEF	77	76
1934	Alemannische Oberliga	Conrad VON GIMMELSHAUSEN	VPR	MID	78	77
1934	Alemannische Oberliga	Erik KRÄMER	VPR	MID	78	76
1934	Alemannische Oberliga	Eric HASS	VPR	MID	75	73
1934	Alemannische Oberliga	Humbert HERZOG	VPR	DEF	75	73
1934	Alemannische Oberliga	Liam SLOVÁK	VPR	FWD	72	70
1934	Alemannische Oberliga	Heinrich KRAUSSER	VPR	DEF	78	75
1934	Alemannische Oberliga	Mirek WIRNER	VPR	MID	75	72
1934	Alemannische Oberliga	Kryštof WOLF	VPR	MID	73	70
1934	Alemannische Oberliga	Conrad BAUER	LEI	MID	87	84
1934	Alemannische Oberliga	Made DJELANTIK	LEI	FWD	84	80
1934	Alemannische Oberliga	Cosimo COLOMBO	LEI	FWD	80	78
1934	Alemannische Oberliga	Robert KIRCHNER	LEI	GK	79	76
1934	Alemannische Oberliga	Levente KOVÁCS	LEI	DEF	79	77
1934	Alemannische Oberliga	Cayetano MONTOYA	LEI	DEF	79	78
1934	Alemannische Oberliga	Desmond BENALLY	LEI	MID	79	78
1934	Alemannische Oberliga	Bernardo FIGUEIRA	LEI	FWD	79	78
1934	Alemannische Oberliga	Thomas WALDHAUS	LEI	DEF	78	80
1934	Alemannische Oberliga	Juvenal VERA	LEI	MID	78	81
1934	Alemannische Oberliga	Gregor ALTMANN	LEI	FWD	78	75
1934	Alemannische Oberliga	Leoš SLÁDEK	LEI	DEF	77	75
1934	Alemannische Oberliga	Younès ZERHOUNI	LEI	MID	77	73
1934	Alemannische Oberliga	Koenraad JONKHEER	RND	FWD	74	77
1934	Alemannische Oberliga	Lenn VAN BUREN	RND	MID	78	79
1934	Alemannische Oberliga	Antoon ARNTZEN	RND	MID	77	78
1934	Alemannische Oberliga	Joost RAMAKER	RND	FWD	74	75
1934	Alemannische Oberliga	Stan SIMONS	RND	MID	78	77
1934	Alemannische Oberliga	Ivo VAN DAELE	RND	DEF	73	72
1934	Alemannische Oberliga	Han LUCAS	RND	DEF	79	77
1934	Alemannische Oberliga	Jozef HAENRAETS	RND	MID	78	76
1934	Alemannische Oberliga	Mannes TIMMERMANS	RND	MID	75	73
1934	Alemannische Oberliga	Cees MARQUERING	RND	FWD	73	71
1934	Alemannische Oberliga	Ewout DE LAND	RND	DEF	72	70
1934	Alemannische Oberliga	Rob WILMS	RND	DEF	78	75
1934	Alemannische Oberliga	Adriaan MEEUWES	RND	GK	77	74
1934	Alemannische Oberliga	Jozef CLOET	RND	MID	72	69
1934	Alemannische Oberliga	Siegbert MÜLLER	NUR	GK	80	79
1934	Alemannische Oberliga	Kuno UNRUH	NUR	DEF	78	77
1934	Alemannische Oberliga	Steffen DIEFENBACH	NUR	MID	78	75
1934	Alemannische Oberliga	Erwin BRABAND	NUR	DEF	77	75
1934	Alemannische Oberliga	Jupp HOFMEISTER	NUR	MID	77	76
1934	Alemannische Oberliga	Alex EBBE	NUR	MID	75	73
1934	Alemannische Oberliga	Emmerich SAUBER	NUR	FWD	75	73
1934	Alemannische Oberliga	Raffael BEITEL	NUR	FWD	75	77
1934	Alemannische Oberliga	Jockel KÖNIGSMANN	NUR	MID	75	74
1934	Alemannische Oberliga	Gisbert JAHNS	NUR	MID	73	72
1934	Alemannische Oberliga	Alfred BECKERT	NUR	MID	73	71
1934	Alemannische Oberliga	Elias KAUMANN	NUR	DEF	72	70
1934	Alemannische Oberliga	Tilo BURGSTALLER	NUR	MID	71	70
1934	Alemannische Oberliga	Eckbert WENDEL	NUR	FWD	70	67
1934	General Rebalance	Daigo TAKANASHI	SPK	DEF	84	83
1934	General Rebalance	Olander STRANDBERG	SPK	DEF	80	82
1934	General Rebalance	Marcello LA BARCA	SPK	MID	80	82
1934	General Rebalance	Nikolaos PAPADOPOULOS	VIR	GK	80	85
1934	General Rebalance	Teguh SETIAWAN	VIR	DEF	80	81
1934	General Rebalance	Epaminondas MAVROMATIS	SHZ	MID	77	78
1934	General Rebalance	Daichi KOMATSUBARA	SHZ	MID	78	79
1934	General Rebalance	Selçuk DEMIRCI	FCH	MID	76	78
1934	General Rebalance	Tibor FAZÉKAS	AYA	MID	73	74
1934	General Rebalance	Semyon VOLKOV	TAK	GK	74	76
1934	General Rebalance	Gvidas RIMKEVIČIUS	TAK	DEF	75	77
1934	General Rebalance	Muzaffer DOĞAN	KOS	DEF	74	77
1934	General Rebalance	Keigo IKEDA	SHR	DEF	73	75
1934	General Rebalance	Anirban GOSWAMI	SHR	DEF	73	74
1934	General Rebalance	Adrien BEAUSOLEIL	TOY	MID	72	74
1934	General Rebalance	Asahi NISHIOKA	ASH	FWD	77	78
1934	General Rebalance	Eito DŌMEKI	MAK	MID	74	78
1934	General Rebalance	Fionn LARRAGHY	ASH	MID	74	75
1934	General Rebalance	Igor NOVIKOV	DYM	MID	74	79
1934	General Rebalance	Keigo MACHIDA	ISS	DEF	78	80
1934	General Rebalance	Kengo OKITSU	DYM	MID	74	76
1934	General Rebalance	Kenichi MITSUI	DYM	FWD	90	89
1934	General Rebalance	Kenzō FUJINAMI	KOS	GK	74	75
1934	General Rebalance	Luca HIGASHIYAMA	VIR	MID	91	90
1934	General Rebalance	Masaki TOGAWA	TAK	DEF	75	76
1934	General Rebalance	Miltiadis GALANIS	VIR	FWD	91	90
1934	General Rebalance	Naoto UMENOKŌJI	ISS	DEF	79	81
1934	General Rebalance	Nuno GOUVEIA	SPK	MID	80	81
1934	General Rebalance	Ryland NASH	SSK	FWD	76	78
1934	General Rebalance	Ryōhei IKEGAYA	KAN	DEF	71	73
1934	General Rebalance	Ryōhei ŌTAKE	KOS	DEF	75	76
1934	General Rebalance	Ryūnosuke TŌDŌ	VIR	FWD	75	78
1934	General Rebalance	Seishirō AMANE	VIR	DEF	77	78
1934	General Rebalance	Serafim CORREIA	ISS	MID	76	79
1934	General Rebalance	Shigematsu SATO	KAN	FWD	74	75
1934	General Rebalance	Shūji KANNAZUKI	KAN	GK	78	79
1934	General Rebalance	Susumu KIKKAWA	KOS	DEF	76	77
1934	General Rebalance	Séamus Ó'DUINNÍN	MAT	FWD	70	73
1934	General Rebalance	Sélim BOUZIANE	SAT	DEF	77	78
1934	General Rebalance	Taiga BASHIRA	DYM	FWD	90	89
1934	General Rebalance	Teppei MOTOHASHI	DYM	DEF	76	77
1934	General Rebalance	Tsuyoshi MIKURIYA	ASH	DEF	72	74
1934	General Rebalance	Tōru CHIKUAMI	TAK	DEF	74	75
1934	General Rebalance	Vladimír KRÁLIK	MAK	DEF	74	77
1934	International Football	Khumba Chari	AAD	FWD	40	37
1934	International Football	Nayuka Patchila	AAD	GK	40	37
1934	International Football	Aluk Enam	AAD	FWD	35	36
1934	International Football	Gustav Sedláček	AAD	MID	42	41
1934	International Football	Isak Nanlong	AAD	MID	41	42
1934	International Football	Pau Atong	AAD	DEF	40	39
1934	International Football	Thura Maung	AAD	MID	37	38
1934	International Football	Amaury Cousteau	ABB	FWD	68	66
1934	International Football	Armand Picard	ABB	FWD	64	62
1934	International Football	Boualem Hamraoui	ABB	MID	68	66
1934	International Football	Chérif Guerroudj	ABB	FWD	73	71
1934	International Football	Hamza Benali	ABB	GK	66	64
1934	International Football	Lakhdar Meziane	ABB	FWD	66	68
1934	International Football	Gaston Fabre	ABB	MID	65	64
1934	International Football	Koceïla Idir	ABB	MID	66	65
1934	International Football	Ouahid Rahmani	ABB	MID	65	64
1934	International Football	Tahar Djaballah	ABB	DEF	70	69
1934	International Football	Yacine Belkacem	ABB	FWD	66	65
1934	International Football	Kabiru Mainasara	ACS	FWD	60	57
1934	International Football	Garba Magaji	ACS	FWD	57	55
1934	International Football	Lawan Zanna	ACS	FWD	53	55
1934	International Football	Martial Lefèvre	ACS	DEF	60	62
1934	International Football	Nuhu Maina	ACS	MID	59	61
1934	International Football	Bukar Dalori	ACS	DEF	56	57
1934	International Football	Ibrahim Galadima	ACS	GK	58	57
1934	International Football	Idrissa Sokoto	ACS	FWD	55	54
1934	International Football	Nasiru Kaura	ACS	FWD	55	56
1934	International Football	Yakubu Dattijo	ACS	FWD	59	58
1934	International Football	Xebat Hawrami	ADV	FWD	69	67
1934	International Football	Azad Doski	ADV	DEF	70	69
1934	International Football	Fouad Tikriti	ADV	FWD	66	67
1934	International Football	Ghaith Musawi	ADV	DEF	70	69
1934	International Football	Jangir Barwari	ADV	DEF	70	71
1934	International Football	Kerem Janabi	ADV	GK	73	74
1934	International Football	Mariwan Nerweyi	ADV	DEF	68	67
1934	International Football	Peshraw Rekabi	ADV	FWD	66	65
1934	International Football	Viktor Kohlmann	ADV	MID	68	67
1934	International Football	Daan Mulder	AED	MID	60	58
1934	International Football	Eleu Pokipala	AED	FWD	61	59
1934	International Football	Ikaika Makoa	AED	DEF	61	59
1934	International Football	Jonah Kupihea	AED	FWD	54	56
1934	International Football	Lono Kekoa	AED	FWD	58	60
1934	International Football	Pono Nainoa	AED	MID	59	61
1934	International Football	Finau Mahoe	AED	MID	55	56
1934	International Football	Gerrit Van Leeuwen	AED	DEF	58	59
1934	International Football	Manu Kawelo	AED	FWD	56	55
1934	International Football	Nakoa Kealoha	AED	DEF	60	59
1934	International Football	Ulu Piipiilani	AED	MID	57	58
1934	International Football	Aram Keshishyan	AEK	FWD	56	58
1934	International Football	Armand Delaunay	AEK	MID	56	57
1934	International Football	Giorgi Tskhovreba	AEK	MID	56	57
1934	International Football	Nikoloz Nadaraia	AEK	GK	59	58
1934	International Football	Otar Tvalchrelidze	AEK	DEF	59	58
1934	International Football	Toghrul Bakhshiyev	AEK	DEF	64	65
1934	International Football	Ildefonso Morón	AEM	FWD	56	58
1934	International Football	Khalil Alami	AEM	MID	54	56
1934	International Football	Montasir El Andaloussi	AEM	DEF	64	62
1934	International Football	Soufiane Lahlou	AEM	FWD	55	57
1934	International Football	Heliodoro Medina	AEM	DEF	62	61
1934	International Football	Noureddine Mansouri	AEM	MID	55	56
1934	International Football	Rachid Benchekroun	AEM	DEF	62	61
1934	International Football	Taoufik Amrani	AEM	MID	54	55
1934	International Football	Wolfgang Steinberg	AGN	FWD	52	49
1934	International Football	Joseph Nanau	AGN	GK	50	48
1934	International Football	Philemon Iroga	AGN	FWD	48	46
1934	International Football	Tomas Meka	AGN	DEF	49	47
1934	International Football	Benaiah Taupongi	AGN	MID	50	49
1934	International Football	Ewald Kessler	AGN	DEF	48	49
1934	International Football	Hedley Kabutaulaka	AGN	DEF	52	53
1934	International Football	Nathaniel Suifua	AGN	MID	49	50
1934	International Football	Inti Loncón	AKG	FWD	57	59
1934	International Football	Nawel Ñanculef	AKG	DEF	58	60
1934	International Football	Pier Hoekstra	AKG	MID	58	60
1934	International Football	Diethelm Brunner	AKG	DEF	56	57
1934	International Football	Gerben Verhoeven	AKG	DEF	55	56
1934	International Football	Kurt Eberle	AKG	FWD	54	55
1934	International Football	Orkeke Inacayal	AKG	FWD	59	58
1934	International Football	Wanguelen Sayhueque	AKG	MID	56	57
1934	International Football	Aloysius Kaviu	AKN	DEF	58	60
1934	International Football	Benedict To Warai	AKN	FWD	54	56
1934	International Football	Jaroslav Navrátil	AKN	MID	62	64
1934	International Football	Manasseh Tamate	AKN	MID	57	59
1934	International Football	Raphael Simet	AKN	FWD	59	61
1934	International Football	Ferdinand Steiner	AKN	DEF	60	61
1934	International Football	Nathan Lavuka	AKN	MID	56	57
1934	International Football	Notini Tikana	AKN	GK	59	60
1934	International Football	Oskar Berger	AKN	MID	60	61
1934	International Football	Silas Vatom	AKN	MID	58	59
1934	International Football	Titus Turuk	AKN	DEF	57	56
1934	International Football	Mahendra Singh	ANB	DEF	54	56
1934	International Football	Ratu Baleiwai	ANB	FWD	52	50
1934	International Football	Ilaitia Titifanue	ANB	MID	53	54
1934	International Football	Kolinio Rigamoto	ANB	FWD	54	53
1934	International Football	Napolioni Tikoisuva	ANB	MID	57	56
1934	International Football	Sitiveni Seruvakula	ANB	DEF	56	55
1934	International Football	Théophile Thibault	ANB	MID	56	55
1934	International Football	Usaia Veitayaki	ANB	FWD	50	49
1934	International Football	Viliame Latianara	ANB	FWD	54	55
1934	International Football	Albrecht Von Haast	ANH	MID	66	68
1934	International Football	Eruera Waititi	ANH	FWD	69	71
1934	International Football	Gareth Tipene	ANH	GK	62	64
1934	International Football	Kurt Mueller	ANH	DEF	65	67
1934	International Football	Matthias Becker	ANH	MID	65	63
1934	International Football	Pita Rata	ANH	FWD	65	67
1934	International Football	Rolf Hoffmann	ANH	DEF	66	64
1934	International Football	Ernst Braunschweig	ANH	MID	62	63
1934	International Football	Fraser Te Rangi	ANH	DEF	64	63
1934	International Football	Hone Wihongi	ANH	MID	64	63
1934	International Football	Judah Rangitāne	ANH	DEF	65	66
1934	International Football	Otene Kereopa	ANH	FWD	61	60
1934	International Football	Asela Dissanayake	ARU	MID	62	60
1934	International Football	Dhanushkodi Thuraisingam	ARU	FWD	63	65
1934	International Football	Murugan Shivaswamy	ARU	DEF	61	59
1934	International Football	Prasanna Abeywardena	ARU	FWD	58	56
1934	International Football	Raveendran Unnithan	ARU	MID	60	62
1934	International Football	Kasun Gunawardena	ARU	DEF	60	59
1934	International Football	Oviyan Venkataraman	ARU	MID	61	60
1934	International Football	Senthil Thiruvengadam	ARU	DEF	62	63
1934	International Football	Thirumal Annamalai	ARU	GK	61	62
1934	International Football	Vigneswaran Arulampalam	ARU	DEF	59	60
1934	International Football	Waalitj Bropho	ARU	FWD	55	54
1934	International Football	Herman Kogoya	ASG	GK	42	38
1934	International Football	Weynand Pakage	ASG	DEF	43	40
1934	International Football	Dominggus Imbiri	ASG	FWD	42	40
1934	International Football	Isak Wetipo	ASG	DEF	42	40
1934	International Football	Joost Brouwer	ASG	DEF	40	38
1934	International Football	Eliezer Desap	ASG	MID	40	41
1934	International Football	Kornelis Wenda	ASG	MID	39	40
1934	International Football	Melky Mote	ASG	FWD	37	38
1934	International Football	Neles Wanimbo	ASG	MID	41	42
1934	International Football	Teunis Slootman	ASG	MID	39	40
1934	International Football	Yulius Mabel	ASG	DEF	38	39
1934	International Football	Yustus Tekege	ASG	MID	44	45
1934	International Football	Rolihlahla Mbeki	ASP	FWD	68	64
1934	International Football	Enhle Khumalo	ASP	DEF	68	66
1934	International Football	Mlungisi Ndlovu	ASP	DEF	68	70
1934	International Football	Rhulani Khouza	ASP	FWD	68	70
1934	International Football	Bonginkosi Mthembou	ASP	FWD	66	65
1934	International Football	Celani Buthelézi	ASP	DEF	74	73
1934	International Football	Jabulani Dlamini	ASP	GK	69	70
1934	International Football	Jomo Mocoéna	ASP	DEF	68	69
1934	International Football	Pitso Modisé	ASP	MID	66	65
1934	International Football	Siyabonga Mazibouko	ASP	FWD	67	66
1934	International Football	Tshepo Motaung	ASP	FWD	67	68
1934	International Football	Vusumuzi Zoulou	ASP	MID	68	67
1934	International Football	Iraklis Christodoulou	AST	FWD	72	74
1934	International Football	Aristeidis Georgiou	AST	DEF	74	75
1934	International Football	Charalambos Angelopoulos	AST	FWD	71	72
1934	International Football	Kleanthis Paleologos	AST	DEF	73	72
1934	International Football	Odysseas Katsaros	AST	MID	72	71
1934	International Football	Prokopis Karagiannis	AST	MID	73	74
1934	International Football	Xenophon Samaras	AST	MID	71	70
1934	International Football	Yorgos Moustakellis	AST	FWD	70	71
1934	International Football	Biidaaban Manitowabi	ATA	FWD	61	59
1934	International Football	Donat Obomsawin	ATA	DEF	59	61
1934	International Football	Firmino Varela	ATA	DEF	62	64
1934	International Football	Keesic Nottaway	ATA	MID	60	58
1934	International Football	Aandeg Debaasige	ATA	GK	61	62
1934	International Football	Clifton Papatie	ATA	MID	62	61
1934	International Football	Duarte Mesquita	ATA	MID	58	59
1934	International Football	Elwood Wagamese	ATA	MID	63	64
1934	International Football	Giizis Wemigwans	ATA	DEF	60	61
1934	International Football	Makwa Kijiko	ATA	DEF	57	58
1934	International Football	Mateus Herrera	ATA	DEF	62	61
1934	International Football	Ogimaa Panadis	ATA	MID	57	58
1934	International Football	Zhaawan Commanda	ATA	FWD	58	59
1934	International Football	Duy Tran	ATK	DEF	73	71
1934	International Football	Janh Nguyen	ATK	GK	74	76
1934	International Football	Sang Pham	ATK	MID	73	75
1934	International Football	Gia Bui	ATK	DEF	71	70
1934	International Football	Huy Luong	ATK	MID	71	72
1934	International Football	Manh Ton That	ATK	DEF	73	74
1934	International Football	Quang Đinh	ATK	MID	72	73
1934	International Football	Thinh Dang	ATK	MID	72	71
1934	International Football	Enamul Islam	AWB	DEF	65	63
1934	International Football	Humayun Piker	AWB	MID	70	72
1934	International Football	Jahangir Hossain	AWB	DEF	67	65
1934	International Football	Kamal Rahman	AWB	GK	64	66
1934	International Football	Palash Bhuiyan	AWB	FWD	68	70
1934	International Football	Chanchal Ahmed	AWB	DEF	66	65
1934	International Football	Didar Sikder	AWB	MID	67	68
1934	International Football	Rofiqul Khandaker	AWB	FWD	67	66
1934	International Football	Rubel Munshi	AWB	FWD	64	63
1934	International Football	Yingjie Ma	AXE	DEF	54	51
1934	International Football	Enkhbold Tsendbaatar	AXE	FWD	57	59
1934	International Football	Bilguun Bat-Erdene	AXE	GK	55	54
1934	International Football	Dambiin Dorzhiev	AXE	DEF	56	57
1934	International Football	Kaiwen Ding	AXE	FWD	55	54
1934	International Football	Radna Tsydypov	AXE	MID	53	54
1934	International Football	Kannan Kurup	CAH	FWD	74	76
1934	International Football	Vidi Sastrowardoyo	CAH	MID	72	70
1934	International Football	Bagus Hartono	CAH	MID	72	73
1934	International Football	Cyprian Kulleh	CAH	FWD	71	72
1934	International Football	Eliezer Bansa	CAH	MID	73	74
1934	International Football	Jehezkiel Lawai	CAH	DEF	74	75
1934	International Football	Nyoman Suarjana	CAH	FWD	74	73
1934	International Football	Panting Jugah	CAH	DEF	73	72
1934	International Football	Ruben Sihombing	CAH	MID	72	71
1934	International Football	Wahyu Wibowo	CAH	MID	74	73
1934	International Football	Édouard Szymański	COR	MID	74	76
1934	International Football	Bolesław Kwiatkowski	COR	FWD	70	69
1934	International Football	Radosław Gołębiowski	COR	FWD	72	73
1934	International Football	Sławomir Jędrzejczyk	COR	MID	73	72
1934	International Football	Egor Goryunov	CSK	FWD	73	71
1934	International Football	Fyodor Korsakov	CSK	MID	72	70
1934	International Football	Namsarai Ayusheev	CSK	MID	74	76
